City_ID,city,lat,lng,max_temp,Humidity,Cloudiness,Wind Speed
102,Raudeberg,61.9875,5.1352,55.2,83,100,18.9
103,Shimoda,34.6667,138.95,80.71,78,14,2.01
104,Payson,40.0444,-111.7321,89.35,57,98,5.75
105,Katsuura,35.1333,140.3,84.31,76,4,3.78
106,Bluff,-46.6,168.3333,40.8,78,76,11.03
107,Georgetown,5.4112,100.3354,80.89,84,20,2.3
108,Airai,-8.9266,125.4092,59.61,73,13,3.27
109,Kahului,20.8947,-156.47,81.34,87,40,14.0
110,Makinsk,52.6292,70.4169,55.11,81,91,7.49
111,Ancud,-41.8697,-73.8203,46.22,99,100,8.08
112,Ripoll,42.2006,2.1903,75.06,66,33,3.89
113,Codrington,-38.2667,141.9667,48.9,83,100,28.32
114,Broome,42.2506,-75.833,79.63,80,1,1.99
115,Mpika,-11.8343,31.4529,50.99,68,5,5.3
116,Carnarvon,-24.8667,113.6333,66.97,85,10,11.86
117,Meulaboh,4.1363,96.1285,75.07,89,100,4.63
118,Bilibino,68.0546,166.4372,55.18,47,6,0.56
119,Katherine,-14.4667,132.2667,59.32,55,48,3.44
120,Mahebourg,-20.4081,57.7,70.25,66,18,19.73
121,Mount Gambier,-37.8333,140.7667,48.11,87,75,21.85
122,Ostrovnoy,68.0531,39.5131,49.59,83,66,14.58
123,Sukhaya Buyvola,45.1533,42.9956,77.11,37,0,7.63
124,Qaanaaq,77.484,-69.3632,38.23,84,94,1.54
125,Anori,-3.7728,-61.6442,79.0,75,49,0.85
126,Camacha,33.0833,-16.3333,67.42,68,75,11.5
127,Araouane,18.9048,-3.5265,96.19,24,32,12.93
128,Camabatela,-8.1881,15.375,60.62,52,30,2.33
129,Nikolskoye,59.7035,30.7861,60.69,82,0,5.35
130,Malanje,-9.5402,16.341,66.58,32,24,1.45
131,Takoradi,4.8845,-1.7554,75.2,86,30,10.98
132,Hermanus,-34.4187,19.2345,51.91,82,100,2.26
133,Campina Verde,-19.5356,-49.4864,54.25,14,0,4.9
134,Saskylakh,71.9167,114.0833,51.98,92,95,5.93
135,Ayan,56.45,138.1667,62.55,75,100,7.65
136,Esperance,-33.8667,121.9,53.76,79,99,9.86
137,Coquimbo,-29.9533,-71.3436,57.51,68,0,3.85
138,Amapa,1.0,-52.0,74.88,88,64,1.14
139,San Cristobal,7.7669,-72.225,66.49,97,81,4.76
140,Prado,-17.3411,-39.2208,74.07,86,0,9.13
141,Port Hardy,50.6996,-127.4199,62.46,73,48,11.18
142,Liverpool,53.4106,-2.9779,70.68,77,1,3.2
143,Sur,22.5667,59.5289,88.21,63,20,13.09
144,San Joaquin,37.9333,-121.3011,103.08,22,1,9.22
145,Castro,-24.7911,-50.0119,40.5,68,9,1.52
146,Haines Junction,60.7522,-137.5108,75.15,38,41,3.44
147,Hamilton,39.1834,-84.5333,84.0,59,20,1.01
148,Aranos,-24.1333,19.1167,48.96,32,0,13.76
149,Kruisfontein,-34.0033,24.7314,52.88,86,100,6.51
150,Bafq,31.6128,55.4107,87.17,18,28,5.59
151,Ouargaye,11.5033,0.0572,80.19,71,100,10.04
152,Longyearbyen,78.2186,15.6401,42.64,75,75,6.91
153,Ilebo,-4.3167,20.5833,71.11,35,84,1.3
154,Vila Franca Do Campo,37.7167,-25.4333,70.21,89,85,9.78
155,Sao Joao Da Barra,-21.6403,-41.0511,68.23,57,97,19.04
156,Fairbanks,64.8378,-147.7164,81.1,36,90,3.0
157,Vestmannaeyjar,63.4427,-20.2734,52.02,92,81,13.06
158,Olafsvik,64.8945,-23.7142,53.1,95,100,10.49
159,Upernavik,72.7868,-56.1549,40.44,89,99,4.07
160,Fortuna,40.5982,-124.1573,89.19,71,1,1.99
161,Carballo,43.213,-8.691,66.0,95,28,2.59
162,Kapit,2.0167,112.9333,73.69,100,100,1.1
163,Isangel,-19.55,169.2667,78.78,73,17,3.85
164,Yar-Sale,66.8333,70.8333,52.27,77,32,10.13
165,Bukama,-9.2,25.85,67.53,39,6,3.24
166,Simbahan,6.3032,120.5836,82.96,72,88,5.82
167,Murgab,37.4966,61.9714,81.25,18,0,9.28
168,Tuatapere,-46.1333,167.6833,40.82,79,93,5.48
169,Polyarnyy,69.1989,33.4478,48.67,84,100,14.2
170,Lavrentiya,65.5833,-171.0,45.23,98,100,4.18
171,Zastron,-30.3023,27.084,38.07,23,0,5.23
172,Evensk,61.95,159.2333,62.89,56,100,1.97
173,Svetlogorsk,52.6333,29.7333,61.63,91,62,6.85
174,Ribeira Grande,38.5167,-28.7,70.38,85,100,20.42
175,Tecoanapa,16.5167,-98.75,87.19,65,17,9.33
176,Grindavik,63.8424,-22.4338,52.27,100,90,4.61
177,Ambon,-3.6954,128.1814,75.34,100,40,4.61
178,Shieli,44.1667,66.75,82.27,32,0,9.62
179,Yangambi,0.8102,24.4336,69.62,77,100,2.48
180,Isabela,6.7085,121.9711,80.49,81,96,2.84
181,Souillac,-20.5167,57.5167,70.36,69,11,19.33
182,Sao Filipe,14.8961,-24.4956,75.04,84,28,8.55
183,Port Blair,11.6667,92.75,80.87,85,100,18.95
184,Hay River,60.8156,-115.7999,66.25,56,84,3.44
185,Khatanga,71.9667,102.5,56.97,64,100,6.98
186,Norman Wells,65.282,-126.8329,76.48,38,94,3.53
187,Tasiilaq,65.6145,-37.6368,46.56,91,100,11.03
188,Sassandra,4.95,-6.0833,75.76,79,82,9.35
189,Naze,28.3667,129.4833,77.95,89,100,28.79
190,Verkhnevilyuysk,63.4453,120.3167,65.95,67,100,3.53
191,Saint-Joseph,-21.3667,55.6167,68.38,74,25,15.41
192,Jining,35.405,116.5814,76.69,82,96,8.7
193,Beringovskiy,63.05,179.3167,45.52,97,100,7.96
194,Magistralnyy,56.1725,107.4458,62.62,73,100,1.07
195,Nuevo Laredo,27.4763,-99.5164,98.58,39,40,6.91
196,Tilichiki,60.4667,166.1,61.47,55,61,20.94
197,Kodiak,57.79,-152.4072,65.71,68,1,14.97
198,Emba,48.8264,58.1442,74.62,53,5,9.57
199,Kankakee,41.15,-87.8667,84.54,69,75,0.0
200,Bonavista,48.6499,-53.1147,59.11,75,96,14.65
201,Havoysund,70.9963,24.6622,43.68,70,98,27.58
202,Micheweni,-4.9667,39.8333,75.7,78,43,14.32
203,Saldanha,-33.0117,17.9442,55.65,69,100,17.78
204,Vostok,46.4856,135.8833,78.94,63,18,1.57
205,Akureyri,65.6835,-18.0878,60.51,79,66,1.21
206,Westport,41.1415,-73.3579,82.17,79,75,5.01
207,Bairiki,1.3292,172.9752,86.0,70,75,6.91
208,Mondlo,-27.983,30.7177,42.53,24,0,6.17
209,Kununurra,-15.7667,128.7333,57.18,77,8,3.44
210,Shitanjing,39.2342,106.3439,71.22,67,81,13.82
211,Samarai,-10.6167,150.6667,80.04,76,99,14.92
212,Ponta Do Sol,32.6667,-17.1,72.72,78,6,4.41
213,Vila Do Maio,15.1333,-23.2167,77.79,86,23,14.03
214,Sao Gabriel Da Cachoeira,-0.1303,-67.0892,77.0,83,73,1.41
215,Makakilo City,21.3469,-158.0858,86.32,53,40,9.22
216,Myitkyina,25.3833,97.4,76.69,99,89,0.63
217,Pathein,16.7833,94.7333,76.48,94,100,12.88
218,Tiarei,-17.5333,-149.3333,84.22,82,100,24.45
219,Lompoc,34.6391,-120.4579,95.77,56,3,5.01
220,San Vicente,-26.6167,-54.1333,40.33,80,97,2.91
221,Isiro,2.7739,27.616,64.74,98,100,0.76
222,Derzhavinsk,51.1,66.3167,59.52,81,5,8.28
223,Kisangani,0.5167,25.2,71.51,77,100,2.15
224,Inhapim,-19.5492,-42.12,71.04,55,22,4.38
225,Muzhi,65.3667,64.6667,58.51,61,19,8.01
226,Soller,39.7662,2.7152,77.85,61,0,2.08
227,Sierra Vista,31.5545,-110.3037,90.66,41,1,1.99
228,Klaksvik,62.2266,-6.589,50.92,93,76,8.86
229,Miyang,24.4042,103.4428,63.82,97,91,3.27
230,Caravelas,-17.7125,-39.2481,72.28,90,0,5.59
231,Pangnirtung,66.1451,-65.7125,41.41,97,100,3.89
232,Presidencia Roque Saenz Pena,-26.7852,-60.4388,51.53,32,100,5.73
233,Nipawin,53.3668,-104.0009,64.44,77,90,6.91
234,Hauterive,46.0901,3.4459,65.01,96,0,3.15
235,Madang,-5.2246,145.7966,79.11,89,100,3.31
236,Gat,31.61,34.7642,80.82,75,9,5.95
237,Toora-Khem,52.4675,96.11,54.64,81,45,0.27
238,Padang,-0.9492,100.3543,76.5,81,100,4.07
239,Yantal,56.8471,105.2542,64.2,69,98,1.41
240,Hurghada,27.2574,33.8129,95.04,20,0,13.8
241,Los Llanos De Aridane,28.6585,-17.9182,67.75,78,90,13.8
242,Langenau,48.4962,10.1185,65.25,95,0,5.26
243,Bathsheba,13.2167,-59.5167,83.01,74,40,20.71
244,Viedma,-40.8135,-62.9967,51.26,29,63,9.64
245,Praia Da Vitoria,38.7333,-27.0667,70.75,91,94,8.9
246,Kheda,22.75,72.6833,80.89,75,100,13.78
247,Lorengau,-2.0226,147.2712,81.36,78,100,3.49
248,Talcahuano,-36.7167,-73.1167,55.02,77,88,9.64
249,Dawlatabad,36.4141,64.9053,79.54,17,0,6.67
250,Dingle,10.9995,122.6711,77.47,87,100,8.25
251,Camacupa,-12.0167,17.4833,56.21,42,41,2.84
252,Namibe,-15.1961,12.1522,67.57,83,85,5.66
253,Roma,43.2128,-75.4557,80.83,81,1,3.44
254,Colatina,-19.5394,-40.6306,69.76,84,27,8.08
255,Leningradskiy,69.3833,178.4167,40.96,85,100,3.65
256,Pisco,-13.7,-76.2167,64.45,77,90,11.5
257,College,64.8569,-147.8028,80.58,36,20,4.61
258,Challapata,-18.9,-66.7667,49.57,30,90,2.46
259,Laguna,38.421,-121.4238,104.43,20,1,4.0
260,Kavaratti,10.5669,72.642,82.02,77,78,17.9
261,Omboue,-1.5746,9.2618,73.62,80,78,8.9
