City_ID,city,lat,lng,max temp,Humidity,Cloudiness,wind speed,Weather description,country
90,Mattru,7.6244,-11.8332,72.81,97,100,5.46,light rain,SL
91,Castro,-24.7911,-50.0119,57.47,70,0,2.35,clear sky,BR
92,Belaya Gora,68.5333,146.4167,57.42,46,98,7.85,overcast clouds,RU
93,Sitka,57.0531,-135.33,57.09,88,90,10.36,light rain,US
94,Ghanzi,-21.5667,21.7833,43.09,25,0,7.47,clear sky,BW
95,Acari,-15.4311,-74.6158,70.0,63,5,7.16,clear sky,PE
96,Pitimbu,-7.4706,-34.8086,75.36,83,23,15.01,few clouds,BR
97,Mubi,10.2676,13.2644,69.35,92,36,2.91,scattered clouds,NG
98,Phan Thiet,10.9333,108.1,77.13,90,100,10.42,overcast clouds,VN
99,Thompson,55.7435,-97.8558,71.76,35,75,25.32,broken clouds,CA
100,San Ramon,37.7799,-121.978,99.09,37,3,10.0,clear sky,US
101,Qaanaaq,77.484,-69.3632,43.74,56,21,2.93,few clouds,GL
102,Busselton,-33.65,115.3333,48.09,61,99,14.5,overcast clouds,AU
103,Willowmore,-33.2926,23.4895,37.09,87,6,7.47,clear sky,ZA
104,Carnarvon,-24.8667,113.6333,59.07,67,80,12.66,broken clouds,AU
105,Iqaluit,63.7506,-68.5145,51.53,87,90,8.01,light rain,CA
106,Wanaka,-44.7,169.15,33.12,99,7,1.01,clear sky,NZ
107,Alta Floresta,-9.8756,-56.0861,94.82,24,20,9.22,few clouds,BR
108,Kapaa,22.0752,-159.319,80.47,70,26,5.01,light rain,US
109,Georgetown,5.4112,100.3354,82.89,85,20,3.0,moderate rain,MY
110,Saldanha,-33.0117,17.9442,50.54,66,0,9.82,clear sky,ZA
111,Butaritari,3.0707,172.7902,83.91,73,51,16.04,broken clouds,KI
112,Pevek,69.7008,170.3133,38.91,89,100,7.61,light rain,RU
113,Puerto Ayora,-0.7393,-90.3518,80.56,85,97,5.99,overcast clouds,EC
114,Camacha,33.0833,-16.3333,68.76,78,20,13.8,few clouds,PT
115,Basco,20.4487,121.9702,84.61,79,100,34.02,overcast clouds,PH
116,Adilabad,19.6667,78.5333,74.28,84,96,8.03,moderate rain,IN
117,Codrington,-38.2667,141.9667,48.16,89,100,21.36,light rain,AU
118,Nanortalik,60.1432,-45.2371,43.38,84,40,11.1,scattered clouds,GL
119,Nuevo Progreso,23.1667,-97.95,92.59,60,33,11.01,scattered clouds,MX
120,East London,-33.0153,27.9116,53.35,66,94,3.69,light rain,ZA
121,Mecca,21.4267,39.8261,87.46,56,91,4.36,overcast clouds,SA
122,Okha,53.5739,142.9478,59.86,96,99,9.89,overcast clouds,RU
123,Sao Felix Do Xingu,-6.6447,-51.995,86.2,34,9,2.59,clear sky,BR
124,Ribeira Grande,38.5167,-28.7,73.8,88,75,12.66,broken clouds,PT
125,Beringovskiy,63.05,179.3167,53.13,81,100,5.03,light rain,RU
126,Lloret De Mar,41.6999,2.8457,83.5,90,59,5.66,broken clouds,ES
127,Galveston,29.3669,-94.9669,97.18,73,3,4.0,clear sky,US
128,Saint-Pierre,-21.3393,55.4781,67.68,64,20,8.05,few clouds,RE
129,Buta,2.7858,24.73,72.07,88,100,2.13,light rain,CD
130,Klaksvik,62.2266,-6.589,50.92,91,97,16.98,overcast clouds,FO
131,Paita,-5.0892,-81.1144,69.3,75,20,21.9,few clouds,PE
132,Maniitsoq,65.4167,-52.9,41.32,97,100,18.66,moderate rain,GL
133,Sioux Lookout,50.1001,-91.917,77.38,33,79,9.8,broken clouds,CA
134,Clyde River,70.4692,-68.5914,39.43,81,75,24.16,broken clouds,CA
135,Newark,40.7357,-74.1724,85.96,42,40,5.75,scattered clouds,US
136,La Ronge,55.1001,-105.2842,64.62,68,90,24.16,overcast clouds,CA
137,Kavieng,-2.5744,150.7967,82.17,79,16,14.83,light rain,PG
138,Yaring,6.8662,101.3689,79.11,83,100,5.03,overcast clouds,TH
139,Honiara,-9.4333,159.95,79.36,81,99,3.42,overcast clouds,SB
140,Muros,42.7762,-9.0603,66.09,87,31,7.85,scattered clouds,ES
141,Kemijarvi,66.7131,27.4306,46.53,77,97,4.88,overcast clouds,FI
142,Pombia,45.653,8.6336,81.12,73,0,2.3,clear sky,IT
143,Namibe,-15.1961,12.1522,65.41,92,16,4.94,few clouds,AO
144,Samana,19.2056,-69.3369,83.73,74,72,9.73,broken clouds,DO
145,Airai,-8.9266,125.4092,56.25,35,11,3.31,few clouds,TL
146,Kushima,31.4583,131.2333,77.74,91,100,12.95,overcast clouds,JP
147,Pierre,44.3683,-100.351,102.99,6,53,3.0,broken clouds,US
148,Taksimo,56.3444,114.8794,59.09,94,100,4.34,light rain,RU
149,Pombas,17.1503,-25.0201,74.98,75,48,12.57,scattered clouds,CV
150,Tuatapere,-46.1333,167.6833,42.82,89,52,5.68,broken clouds,NZ
151,Pucara,-15.9803,-71.4606,43.81,36,70,12.93,broken clouds,PE
152,Zhaotong,27.3167,103.7167,62.38,95,100,1.12,overcast clouds,CN
153,Bandarbeyla,9.4942,50.8122,76.78,82,23,35.81,few clouds,SO
154,Salalah,17.0151,54.0924,77.47,97,100,9.86,overcast clouds,OM
155,Vaini,-21.2,-175.2,75.36,94,40,3.44,scattered clouds,TO
156,Iskateley,67.6803,53.1512,44.22,83,99,5.5,overcast clouds,RU
157,Sarahan,31.5167,77.8,64.94,87,75,2.04,broken clouds,IN
158,Sao Pedro Do Sul,-29.6206,-54.1789,66.65,75,0,4.43,clear sky,BR
159,Cap Malheureux,-19.9842,57.6142,70.29,76,40,1.99,scattered clouds,MU
160,Leh,34.1667,77.5833,64.54,51,16,4.74,few clouds,IN
161,Rach Gia,10.0167,105.0833,78.75,80,76,16.24,broken clouds,VN
162,Yellowknife,62.456,-114.3525,76.32,64,75,3.0,smoke,CA
163,Rivne,50.6231,26.2274,61.84,65,100,4.21,overcast clouds,UA
164,Chone,-0.6833,-80.1,81.45,67,76,10.78,broken clouds,EC
165,Rio Formoso,-8.6636,-35.1586,75.16,84,25,8.1,scattered clouds,BR
166,Deputatskiy,69.3,139.9,53.69,64,94,4.25,overcast clouds,RU
167,Lanzhou,36.0564,103.7922,72.7,74,0,3.33,clear sky,CN
168,Mujiayingzi,42.1167,118.7833,68.63,84,66,6.85,broken clouds,CN
169,Barrow,71.2906,-156.7887,35.35,89,100,12.82,light rain,US
170,Guerrero Negro,27.9769,-114.0611,83.59,51,25,14.65,scattered clouds,MX
171,Kruisfontein,-34.0033,24.7314,43.88,77,41,5.1,scattered clouds,ZA
172,Dunedin,-45.8742,170.5036,50.81,71,30,3.87,scattered clouds,NZ
173,Qianan,44.9932,124.0581,73.26,70,4,12.95,clear sky,CN
174,Praia,14.9215,-23.5087,75.74,69,20,14.97,few clouds,CV
175,Andros Town,24.7,-77.7667,84.07,72,100,13.53,overcast clouds,BS
176,Khislavichi,54.1871,32.1582,57.25,92,25,5.14,light rain,RU
177,Corralillo,22.9819,-80.5856,86.49,64,16,15.14,few clouds,CU
178,Tabou,4.423,-7.3528,75.7,74,85,7.78,overcast clouds,CI
179,Geraldton,-28.7667,114.6,56.12,93,75,3.44,broken clouds,AU
180,Nome,64.5011,-165.4064,52.16,79,91,11.12,overcast clouds,US
181,Asau,46.4333,26.4,62.4,84,19,3.09,few clouds,RO
182,Shenjiamen,29.9576,122.298,78.51,90,100,23.09,light rain,CN
183,Odweyne,9.4092,45.064,72.37,59,98,11.99,overcast clouds,SO
184,Laguna,38.421,-121.4238,106.25,27,2,1.01,clear sky,US
185,Mirante Do Paranapanema,-22.2919,-51.9064,75.61,29,0,6.67,clear sky,BR
186,Tasiilaq,65.6145,-37.6368,39.09,99,100,3.85,light rain,GL
187,Lavrentiya,65.5833,-171.0,48.24,72,89,5.84,overcast clouds,RU
188,Kidal,18.4411,1.4078,87.55,41,99,13.0,overcast clouds,ML
189,Narsingdi,23.9208,90.7181,82.42,94,100,13.29,overcast clouds,BD
190,Noumea,-22.2763,166.4572,69.01,99,13,2.8,few clouds,NC
191,Portree,57.4129,-6.1942,66.85,83,99,4.41,overcast clouds,GB
192,Pedasi,7.5333,-80.0333,81.48,77,100,1.66,overcast clouds,PA
193,Fonte Boa,-2.4959,-66.2662,82.81,77,44,2.33,scattered clouds,BR
194,Hoquiam,46.9809,-123.8893,80.55,60,1,16.11,clear sky,US
195,Kualakapuas,-3.0091,114.3876,73.56,96,98,2.82,overcast clouds,ID
196,Alofi,-19.0595,-169.9187,76.89,94,75,6.91,broken clouds,NU
197,Chabahar,25.2919,60.643,85.05,84,0,11.23,clear sky,IR
198,Souillac,-20.5167,57.5167,70.18,83,75,12.66,light intensity shower rain,MU
199,Guadalajara,20.6667,-103.3333,85.98,41,34,1.01,scattered clouds,MX
200,Tianmen,30.6516,113.1603,73.87,97,93,5.57,overcast clouds,CN
201,Elizabeth City,36.2946,-76.2511,87.03,57,24,10.71,few clouds,US
202,Gingoog,8.8243,125.1042,79.95,77,92,4.38,overcast clouds,PH
203,Ampanihy,-24.7,44.75,60.91,61,40,6.2,scattered clouds,MG
204,Neiafu,-18.65,-173.9833,78.44,81,17,14.41,few clouds,TO
205,Soe,-9.8607,124.284,60.08,45,4,3.44,clear sky,ID
206,Yerbogachen,61.2767,108.0108,58.39,74,27,2.17,scattered clouds,RU
207,Tura,25.5198,90.2201,76.06,88,99,5.68,overcast clouds,IN
208,Kedrovyy,56.1667,91.8167,54.01,76,47,8.77,scattered clouds,RU
209,Cocorit,27.5833,-109.9667,100.11,32,87,8.37,overcast clouds,MX
210,Oum Hadjer,13.2954,19.6966,83.57,54,87,7.81,overcast clouds,TD
211,Killam,52.7834,-111.8518,77.88,22,0,19.53,clear sky,CA
212,Kahului,20.8947,-156.47,81.97,87,36,11.01,scattered clouds,US
213,Batemans Bay,-35.7167,150.1833,51.19,89,92,5.46,light rain,AU
214,Sistranda,63.7256,8.834,53.91,84,100,9.95,overcast clouds,NO
215,Sibolga,1.7427,98.7792,76.24,81,96,2.73,overcast clouds,ID
216,Luau,-10.7073,22.2247,64.02,39,42,4.81,scattered clouds,AO
217,Nikolskoye,59.7035,30.7861,61.81,65,93,2.8,overcast clouds,RU
218,Saskylakh,71.9167,114.0833,55.38,78,97,14.09,overcast clouds,RU
219,Oranjemund,-28.55,16.4333,61.81,25,0,13.18,clear sky,NA
220,Iracoubo,5.4802,-53.2011,79.56,86,81,12.53,broken clouds,GF
221,Vestmannaeyjar,63.4427,-20.2734,52.79,100,90,11.5,light intensity drizzle,IS
222,Maragogi,-9.0122,-35.2225,74.75,77,25,10.89,scattered clouds,BR
223,Qasigiannguit,68.8193,-51.1922,44.85,90,100,11.01,overcast clouds,GL
224,Coari,-4.085,-63.1414,86.38,57,63,3.31,broken clouds,BR
225,Tezu,27.9167,96.1667,76.1,96,86,2.8,overcast clouds,IN
226,Dubbo,-32.25,148.6167,48.33,93,90,11.5,overcast clouds,AU
227,Novikovo,51.1537,37.8879,63.18,68,16,6.69,few clouds,RU
228,Gravdal,68.1214,13.5031,51.69,93,75,2.3,light rain,NO
229,Staryy Nadym,65.6118,72.6842,51.51,89,100,18.99,overcast clouds,RU
230,Gornopravdinsk,60.05,69.9,55.17,90,54,4.41,broken clouds,RU
231,Goundam,16.4145,-3.6708,95.4,35,15,12.62,few clouds,ML
232,Griffith,41.5284,-87.4237,91.33,56,40,4.0,scattered clouds,US
233,Nemuro,43.3236,145.575,61.56,94,92,10.58,overcast clouds,JP
234,High Rock,26.6208,-78.2833,83.52,71,100,8.59,overcast clouds,BS
235,Chirongui,-12.9319,45.1483,75.13,71,3,18.14,light rain,YT
236,Bouar,5.934,15.596,64.45,96,40,3.13,light rain,CF
237,Tulum,20.2167,-87.4667,87.93,59,100,9.89,overcast clouds,MX
238,Abu Dhabi,24.4667,54.3667,102.31,29,0,9.22,clear sky,AE
239,Makakilo City,21.3469,-158.0858,78.69,71,33,20.56,scattered clouds,US
240,Norman Wells,65.282,-126.8329,59.04,72,90,11.5,overcast clouds,CA
241,Kushmurun,52.4503,64.6311,70.65,78,96,12.19,overcast clouds,KZ
242,Thunder Bay,48.4001,-89.3168,75.56,71,66,3.0,broken clouds,CA
243,Pontypridd,51.6021,-3.3421,71.82,74,100,3.0,overcast clouds,GB
244,Alappuzha,9.49,76.3264,79.0,86,99,14.61,light rain,IN
245,Mamakan,57.8161,114.0028,60.8,98,100,2.64,light rain,RU
246,Otane,-39.8833,176.6333,45.01,90,4,1.77,clear sky,NZ
247,Kaitangata,-46.2817,169.8464,40.93,76,39,4.36,scattered clouds,NZ
248,Sao Jose Dos Pinhais,-25.5347,-49.2064,60.73,73,0,3.38,clear sky,BR
249,Chumikan,54.7183,135.315,58.89,93,65,4.29,broken clouds,RU
250,Leo,11.1,-2.1,78.87,64,96,6.96,overcast clouds,BF
251,Meulaboh,4.1363,96.1285,76.93,88,100,4.12,overcast clouds,ID
252,Sibu,2.3,111.8167,74.28,96,100,1.12,overcast clouds,MY
253,Ugoofaaru,5.6667,73.0,82.49,77,90,12.93,overcast clouds,MV
254,Vila,42.0304,-8.1588,55.74,81,7,2.64,clear sky,PT
255,Lompoc,34.6391,-120.4579,87.21,64,57,16.11,broken clouds,US
256,Huilong,31.8111,121.655,77.99,86,100,20.56,overcast clouds,CN
257,Petropavlovsk-Kamchatskiy,53.0452,158.6483,54.19,100,75,2.24,broken clouds,RU
258,Chokurdakh,70.6333,147.9167,40.71,70,70,12.75,broken clouds,RU
259,Atherton,53.5237,-2.4935,66.27,73,100,5.01,overcast clouds,GB
260,Boende,-0.2167,20.8667,78.53,59,98,2.91,overcast clouds,CD
261,Burgos,42.3394,-3.7079,70.21,35,0,9.22,clear sky,ES
262,Bosobolo,4.1833,19.9,72.36,86,99,2.3,overcast clouds,CD
263,San Carlos De Bariloche,-41.1456,-71.3082,40.46,71,100,3.33,overcast clouds,AR
264,Challapata,-18.9,-66.7667,54.48,29,16,4.25,few clouds,BO
265,Boyolangu,-8.1181,111.8935,73.22,87,62,4.16,broken clouds,ID
266,Chara,56.9064,118.2631,59.09,82,96,1.74,overcast clouds,RU
267,Kodyma,48.0988,29.1246,62.35,68,15,2.77,few clouds,UA
268,Rebrikha,53.0733,82.3408,64.36,93,100,4.76,light rain,RU
269,Saint George,37.1041,-113.5841,100.63,30,27,8.01,scattered clouds,US
270,Krasnoselkup,65.7,82.4667,69.17,69,100,24.27,overcast clouds,RU
271,De-Kastri,51.4667,140.7833,64.26,95,100,3.87,overcast clouds,RU
272,Sorochinsk,52.4338,53.1583,67.59,57,100,1.48,overcast clouds,RU
273,Wanning,18.8003,110.3967,78.19,90,86,5.14,overcast clouds,CN
274,Bahia Blanca,-38.7196,-62.2724,52.09,58,100,13.8,overcast clouds,AR
275,Victoria,22.2855,114.1577,85.24,87,78,5.01,light rain,HK
276,Lagoa,39.05,-27.9833,70.27,95,100,15.12,overcast clouds,PT
277,Flinders,-34.5833,150.8552,51.39,88,99,6.24,overcast clouds,AU
278,Cortez,37.3489,-108.5859,85.93,36,1,9.22,clear sky,US
279,Te Anau,-45.4167,167.7167,38.88,93,42,1.01,scattered clouds,NZ
280,Mount Isa,-20.7333,139.5,49.77,66,36,1.14,scattered clouds,AU
281,Bathsheba,13.2167,-59.5167,82.44,76,12,14.0,few clouds,BB
282,Mar Del Plata,-38.0023,-57.5575,62.62,64,0,1.99,clear sky,AR
283,Kungurtug,50.5994,97.5228,61.88,72,93,2.62,overcast clouds,RU
284,Alenquer,-1.9417,-54.7383,89.01,47,77,6.26,broken clouds,BR
285,Husavik,66.0449,-17.3389,59.58,79,76,1.63,broken clouds,IS
286,Adre,13.4667,22.2,76.82,71,39,13.24,scattered clouds,TD
287,Kupang,-10.1667,123.5833,70.83,80,3,7.87,clear sky,ID
288,Xichang,27.8964,102.2634,65.41,92,100,2.04,moderate rain,CN
289,Waingapu,-9.6567,120.2641,70.34,74,0,5.37,clear sky,ID
290,Dwarka,22.2394,68.9678,82.45,85,100,16.67,light rain,IN
291,Hasaki,35.7333,140.8333,75.6,83,0,2.44,clear sky,JP
292,Tucuman,-26.8241,-65.2226,76.66,25,0,4.36,clear sky,AR
293,Soubre,5.7856,-6.6083,73.17,84,98,4.41,overcast clouds,CI
