City_ID,city,country,max temp,Weather description,lat,lng,Hotel Name
580,Hashtrud,IR,71.8,clear sky,37.4779,47.0508,Mahan Hotel
582,Mackenzie,CA,64.98,overcast clouds,55.2999,-123.1698,Hilton Shop
583,Benguela,AO,69.24,few clouds,-12.5763,13.4055,Hotel Praia Morena
585,Saint-Paul,RE,68.11,clear sky,-21.0096,55.2707,Boucan Canot
588,Abay,KZ,52.18,clear sky,49.6311,72.8539,Guest House on Abaya 144
590,Zhigansk,RU,64.67,clear sky,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
592,Nakhon Thai,TH,74.25,moderate rain,17.1006,100.8374,Phet resort
593,Feldkirchen,DE,69.78,scattered clouds,48.148,11.7434,Hotel NH München Ost Conference Center
595,Viedma,AR,50.99,overcast clouds,-40.8135,-62.9967,Hotel Cristal
596,Grimshaw,CA,70.02,scattered clouds,56.1834,-117.6027,Pomeroy Inn & Suites Grimshaw
601,Devonport,AU,52.0,light rain,-41.1667,146.35,Gateway Hotel by Nightcap Plus
606,Makat,KZ,73.06,broken clouds,47.6469,53.3463,Umit
608,Dossor,KZ,74.16,overcast clouds,47.5272,52.9811,"Gostinitsa Orpk ""Nauryz"""
609,Nelson Bay,AU,54.95,scattered clouds,-32.7167,152.15,Mantra Nelson Bay
610,Governador Valadares,BR,70.95,few clouds,-18.8511,-41.9494,Hotel Panorama
611,Soyo,AO,70.59,broken clouds,-6.1349,12.3689,Hotel Mpampa
612,Albanel,CA,71.74,broken clouds,48.8832,-72.4487,Camping municipal d'Albanel
613,Hofn,IS,53.44,overcast clouds,64.2539,-15.2082,Hótel Höfn
614,Biak,ID,73.94,overcast clouds,-0.9131,122.8766,Penginapan Kim
619,Fort Nelson,CA,72.59,broken clouds,58.8053,-122.7002,The Fort Nelson Hotel
620,Preobrazheniye,RU,74.84,scattered clouds,42.9019,133.9064,Campsite Orlan
621,Kolhapur,IN,70.86,overcast clouds,16.7,74.2167,Hotel Ranjeet
625,Rimouski,CA,62.1,overcast clouds,48.4488,-68.524,Hôtel Rimouski
627,Chalchihuites,MX,71.83,overcast clouds,23.4833,-103.8833,Hotel Posada Real
630,Channel-Port Aux Basques,CA,56.84,broken clouds,47.5702,-59.1367,St. Christopher's Hotel
632,Tremedal,BR,69.75,broken clouds,-14.9758,-41.4108,Pousada Estillos
637,Karatau,KZ,75.0,clear sky,43.1667,70.4667,Gor.bol'nitsa
638,Newport,GB,71.85,overcast clouds,51.5877,-2.9984,ibis budget Newport
640,Taltal,CL,58.87,overcast clouds,-25.4,-70.4833,Residencial Karime
641,Olafsvik,IS,52.3,overcast clouds,64.8945,-23.7142,Hotel Olafsvik
643,Londiani,KE,50.31,few clouds,-0.165,35.5909,Classic Hotel and Butchery
645,Zyryanovsk,KZ,60.21,broken clouds,49.7386,84.2719,Гостиница «ЭВЕРЕСТ»
